"SrNo","StationID","Date_from","Date_to","ECR"
"1","35","2021-01-01","2021-01-31","2.510"
"2","34","2021-01-01","2021-01-31","2.719"
"3","43","2021-01-01","2021-01-31","3.210"
"4","74","2021-01-01","2021-01-31","2.990"
"5","75","2021-01-01","2021-01-31","3.011"
"6","77","2021-01-01","2021-01-31","1.045"
"7","96","2021-01-01","2021-01-31","2.638"
"8","97","2021-01-01","2021-01-31","2.589"
"9","98","2021-01-01","2021-01-31","2.540"
"10","161","2021-01-01","2021-01-31","2.252"
"11","162","2021-01-01","2021-01-31","2.136"
"12","159","2021-01-01","2021-01-31","2.751"
"13","189","2021-01-01","2021-01-31","1.478"
"14","190","2021-01-01","2021-01-31","1.449"
"15","191","2021-01-01","2021-01-31","2.941"
"16","198","2021-01-01","2021-01-31","2.146"
"17","223","2021-01-01","2021-01-31","2.704"
"18","224","2021-01-01","2021-01-31","2.915"
"19","323","2021-01-01","2021-01-31","2.366"
"20","324","2021-01-01","2021-01-31","2.327"
"21","316","2021-01-01","2021-01-31","1.436"
"22","317","2021-01-01","2021-01-31","1.433"
"23","318","2021-01-01","2021-01-31","1.415"
"24","339","2021-01-01","2021-01-31","2.817"
"25","340","2021-01-01","2021-01-31","2.781"
"26","343","2021-01-01","2021-01-31","1.431"
"27","345","2021-01-01","2021-01-31","1.372"
"28","346","2021-01-01","2021-01-31","1.414"
"29","350","2021-01-01","2021-01-31","2.908"
"30","391","2021-01-01","2021-01-31","1.893"
"31","370","2021-01-01","2021-01-31","1.877"
"32","368","2021-01-01","2021-01-31","1.874"
"33","374","2021-01-01","2021-01-31","2.628"
"34","404","2021-01-01","2021-01-31","2.908"
"35","405","2021-01-01","2021-01-31","2.934"
"36","406","2021-01-01","2021-01-31","2.908"
"37","407","2021-01-01","2021-01-31","2.741"
"38","426","2021-01-01","2021-01-31","1.719"
"39","427","2021-01-01","2021-01-31","1.658"
"40","428","2021-01-01","2021-01-31","1.647"
"41","429","2021-01-01","2021-01-31","1.620"
"42","430","2021-01-01","2021-01-31","1.669"
"43","135","2021-01-01","2021-01-31","3.160"
"44","418","2021-01-01","2021-01-31","2.789"
"45","55","2021-01-01","2021-01-31","2.362"
"46","14","2021-01-01","2021-01-31","2.017"
"47","16","2021-01-01","2021-01-31","0.000"
"48","15","2021-01-01","2021-01-31","12.759"
"49","22","2021-01-01","2021-01-31","2.086"
"50","24","2021-01-01","2021-01-31","6.403"
"51","23","2021-01-01","2021-01-31","12.499"
"52","71","2021-01-01","2021-01-31","2.032"
"53","73","2021-01-01","2021-01-31","6.077"
"54","72","2021-01-01","2021-01-31","12.450"
"55","94","2021-01-01","2021-01-31","1.896"
"56","99","2021-01-01","2021-01-31","0.000"
"57","102","2021-01-01","2021-01-31","5.263"
"58","101","2021-01-01","2021-01-31","1.609"
"59","150","2021-01-01","2021-01-31","0.000"
"60","153","2021-01-01","2021-01-31","5.393"
"61","154","2021-01-01","2021-01-31","16.094"
"62","152","2021-01-01","2021-01-31","0.000"
"63","311","2021-01-01","2021-01-31","7.427"
"64","35","2021-02-01","2021-02-28","2.601"
"65","34","2021-02-01","2021-02-28","2.718"
"66","43","2021-02-01","2021-02-28","2.963"
"67","74","2021-02-01","2021-02-28","2.884"
"68","75","2021-02-01","2021-02-28","2.961"
"69","77","2021-02-01","2021-02-28","1.114"
"70","96","2021-02-01","2021-02-28","2.590"
"71","97","2021-02-01","2021-02-28","2.542"
"72","98","2021-02-01","2021-02-28","2.348"
"73","161","2021-02-01","2021-02-28","2.195"
"74","162","2021-02-01","2021-02-28","2.081"
"75","159","2021-02-01","2021-02-28","2.588"
"76","189","2021-02-01","2021-02-28","1.478"
"77","190","2021-02-01","2021-02-28","1.449"
"78","191","2021-02-01","2021-02-28","3.083"
"79","198","2021-02-01","2021-02-28","1.966"
"80","223","2021-02-01","2021-02-28","2.636"
"81","224","2021-02-01","2021-02-28","2.954"
"82","323","2021-02-01","2021-02-28","2.420"
"83","324","2021-02-01","2021-02-28","2.388"
"84","316","2021-02-01","2021-02-28","1.380"
"85","317","2021-02-01","2021-02-28","1.377"
"86","318","2021-02-01","2021-02-28","1.359"
"87","339","2021-02-01","2021-02-28","2.747"
"88","340","2021-02-01","2021-02-28","2.713"
"89","343","2021-02-01","2021-02-28","1.399"
"90","345","2021-02-01","2021-02-28","1.482"
"91","346","2021-02-01","2021-02-28","1.528"
"92","350","2021-02-01","2021-02-28","2.946"
"93","391","2021-02-01","2021-02-28","1.938"
"94","370","2021-02-01","2021-02-28","1.942"
"95","368","2021-02-01","2021-02-28","1.832"
"96","374","2021-02-01","2021-02-28","2.576"
"97","404","2021-02-01","2021-02-28","2.873"
"98","405","2021-02-01","2021-02-28","2.899"
"99","406","2021-02-01","2021-02-28","2.873"
"100","407","2021-02-01","2021-02-28","2.708"
"101","426","2021-02-01","2021-02-28","1.869"
"102","427","2021-02-01","2021-02-28","1.800"
"103","428","2021-02-01","2021-02-28","1.790"
"104","429","2021-02-01","2021-02-28","1.762"
"105","430","2021-02-01","2021-02-28","1.782"
"106","135","2021-02-01","2021-02-28","3.156"
"107","418","2021-02-01","2021-02-28","2.993"
"108","55","2021-02-01","2021-02-28","2.202"
"109","14","2021-02-01","2021-02-28","2.011"
"110","16","2021-02-01","2021-02-28","0.000"
"111","15","2021-02-01","2021-02-28","0.000"
"112","22","2021-02-01","2021-02-28","2.080"
"113","24","2021-02-01","2021-02-28","10.711"
"114","23","2021-02-01","2021-02-28","12.534"
"115","71","2021-02-01","2021-02-28","2.026"
