"SrNo","StateID","StationID","VC","date_from","date_to"
"1","1","187","3.268","2021-06-01",NULL
"2","1","188","2.955","2021-06-01",NULL
"3","1","191","3.287","2021-06-01",NULL
"4","1","242","2.790","2021-06-01",NULL
"5","1","243","2.781","2021-06-01",NULL
"6","1","245","2.357","2021-06-01",NULL
"7","1","250","3.059","2021-06-01",NULL
"8","1","323","2.503","2021-06-01",NULL
"9","1","324","2.460","2021-06-01",NULL
"10","1","339","2.786","2021-06-01",NULL
"11","1","340","2.845","2021-06-01",NULL
"12","1","370","2.028","2021-06-01",NULL
"13","1","418","3.076","2021-06-01",NULL
"14","1","513","3.132","2021-06-01",NULL
"15","1","514","3.132","2021-06-01",NULL
"16","1","515","3.132","2021-06-01",NULL
"17","1","516","2.998","2021-06-01",NULL
"18","1","517","3.915","2021-06-01",NULL
"19","1","518","3.822","2021-06-01",NULL
"20","1","519","3.782","2021-06-01",NULL
"21","1","520","3.660","2021-06-01",NULL
"22","1","522","2.411","2021-06-01",NULL
"23","1","539","2.224","2021-06-01",NULL
"24","1","187","3.268","2021-05-01","2021-05-31"
"25","1","188","2.955","2021-05-01","2021-05-31"
"26","1","191","3.287","2021-05-01","2021-05-31"
"27","1","242","2.790","2021-05-01","2021-05-31"
"28","1","243","2.781","2021-05-01","2021-05-31"
"29","1","245","2.357","2021-05-01","2021-05-31"
"30","1","250","3.059","2021-05-01","2021-05-31"
"31","1","323","2.503","2021-05-01","2021-05-31"
"32","1","324","2.460","2021-05-01","2021-05-31"
"33","1","339","2.786","2021-05-01","2021-05-31"
"34","1","340","2.845","2021-05-01","2021-05-31"
"35","1","370","2.028","2021-05-01","2021-05-31"
"36","1","418","3.076","2021-05-01","2021-05-31"
"37","1","513","3.132","2021-05-01","2021-05-31"
"38","1","514","3.132","2021-05-01","2021-05-31"
"39","1","515","3.132","2021-05-01","2021-05-31"
"40","1","516","2.998","2021-05-01","2021-05-31"
"41","1","517","3.915","2021-05-01","2021-05-31"
"42","1","518","3.822","2021-05-01","2021-05-31"
"43","1","519","3.782","2021-05-01","2021-05-31"
"44","1","520","3.660","2021-05-01","2021-05-31"
"45","1","522","2.411","2021-05-01","2021-05-31"
"46","1","187","3.208","2021-04-01","2021-04-30"
"47","1","188","2.955","2021-04-01","2021-04-30"
"48","1","191","3.112","2021-04-01","2021-04-30"
"49","1","242","2.861","2021-04-01","2021-04-30"
"50","1","243","2.861","2021-04-01","2021-04-30"
"51","1","245","2.395","2021-04-01","2021-04-30"
"52","1","250","3.044","2021-04-01","2021-04-30"
"53","1","323","2.530","2021-04-01","2021-04-30"
"54","1","324","2.483","2021-04-01","2021-04-30"
"55","1","339","2.948","2021-04-01","2021-04-30"
"56","1","340","2.962","2021-04-01","2021-04-30"
"57","1","370","2.159","2021-04-01","2021-04-30"
"58","1","418","3.062","2021-04-01","2021-04-30"
"59","1","513","3.148","2021-04-01","2021-04-30"
"60","1","514","3.148","2021-04-01","2021-04-30"
"61","1","515","3.148","2021-04-01","2021-04-30"
"62","1","516","3.034","2021-04-01","2021-04-30"
"63","1","517","3.845","2021-04-01","2021-04-30"
"64","1","518","3.845","2021-04-01","2021-04-30"
"65","1","519","3.845","2021-04-01","2021-04-30"
"66","1","520","3.660","2021-04-01","2021-04-30"
"67","1","522","2.398","2021-04-01","2021-04-30"
"68","1","539","2.460","2021-04-01","2021-04-30"
"69","1","187","3.208","2021-03-01","2021-03-31"
"70","1","188","2.955","2021-03-01","2021-03-31"
"71","1","191","3.112","2021-03-01","2021-03-31"
"72","1","242","2.861","2021-03-01","2021-03-31"
