"SrNo","StationName","Data_Src","display_name","Installed_cap_MW","Utility_type","Utility_subtype","Type","Subtype","Fuel","PSP_name","LTA_name","RLDC_name"
"1","ACBIL","LTA","ACBIL","300","IPP","Thermal","Coal","0",,,,
"2","Adamtilla","PSP","Adamtilla","0","NULL","NULL","Others","Others","NULL",,,
"3","AGBPP-GAS","ISGS","AGBPP-GAS","291","0","Others","GAS","0",,,,
"4","AGTCCPP-GAS","ISGS","AGTCCPP-GAS","130","0","Others","GAS","0",,,,
"5","ALAKHANANDA HEP","PSP","ALAKHANANDA HEP","330","0","Hydro","0","0",,,,
"6","ALAKNANDA","LTA","ALAKNANDA","0","NULL","NULL","Others","Others","NULL",,,
"7","ALTPS ","PSP","ALTPS ","0","0","Thermal","0","0",,,,
"8","AMARKANTAK ","PSP","AMARKANTAK ","300","NULL","NULL","Thermal","Others","NULL",,,
"9","ANANADPUR SAHIB HYDRO PLANT","PSP","ANANADPUR SAHIB HYDRO PLANT","0","0","Hydro","0","0",,,,
"10","ANPARA  TPS","PSP","ANPARA  TPS","567","0","Others","0","0",,,,
"11","ANPARA-C  TPS","PSP","ANPARA-C  TPS","1080","0","Others","0","0",,,,
"12","ANPARA-D  TPS","PSP","ANPARA-D  TPS","900","0","Others","0","0",,,,
"13","ANTA_CRF","ISGS","ANTA_CRF","419","CS","NTPC","0","0",,,,
"14","ANTA_GF","ISGS","ANTA_GF","419","CS","NTPC","0","0",,,,
"15","ANTA_LF","ISGS","ANTA_LF","419","CS","NTPC","0","0",,,,
"16","ANTA_RF","ISGS","ANTA_RF","419","CS","NTPC","0","0",,,,
"17","APL MUNDRA ","PSP","APL MUNDRA ","0","0","Thermal","0","0",,,,
"18","Baitarani Power Projects Pvt Ltd","PSP","Baitarani Power Projects Pvt Ltd","24","0","RE","0",,,,,
"19","JK Paper Ltd, Theruvali","PSP","JK Paper Ltd, Theruvali","25","0","RE","0",,,,,
"20","APTRANSCO","LTA","APTRANSCO","0","0","Others","0","0",,,,
"21","AURY_CRF","ISGS","AURY_CRF","0","CS","NTPC","0","0",,,,
"22","AURY_GF","ISGS","AURY_GF","663","CS","NTPC","0","0",,,,
"23","AURY_LF","ISGS","AURY_LF","663","CS","NTPC","0","0",,,,
"24","AURY_RF","ISGS","AURY_RF","663","CS","NTPC","0","0",,,,
"25","BAGLIHAR (IPP)   HPS","PSP","BAGLIHAR (IPP)   HPS","0","NULL","NULL","Hydro","MustRun","NULL",,,
"26","Bairabi","PSP","Bairabi","0","NULL","NULL","Others","Others","NULL",,,
"27","BAJAJ ENERGY PVT LTD (IPP) TPS","PSP","BAJAJ ENERGY PVT LTD (IPP) TPS","0","0","Others","0","0",,,,
"28","BAKRESHWAR","PSP","BAKRESHWAR","0","NULL","NULL","Thermal","Others","NULL",,,
"29","BALCO","LTA","BALCO","1200","IPP","Thermal","Coal","0",,,,
"30","BALIMELA HPS ","PSP","BALIMELA HPS ","510","0","Hydro","0","0",,,,
"31","BANDEL TPS","PSP","BANDEL TPS","0","NULL","NULL","Thermal","Others","NULL",,,
"32","BARA PPGCL TPS","PSP","BARA PPGCL TPS","1980","0","Others","0","0",,,,
"33","Baramura","PSP","Baramura","0","NULL","NULL","Others","Others","NULL",,,
"34","BARAUNI TPS II","PSP","BARAUNI TPS II","250","CS","NTPC","NTPC-T","Others","NULL",,,
"35","BARH","ISGS","BARH","1320","CS","NTPC","0","0",,,,
"36","BARSINGSAR (IPP) LTPS","PSP","BARSINGSAR (IPP) LTPS","0","0","Thermal","0","0",,,,
"37","BASIN BRIDGE (NAPTHA)","PSP","BASIN BRIDGE (NAPTHA)","0","NULL","NULL","Gas","Gas","NULL",,,
"38","Baskandi","PSP","Baskandi","0","NULL","NULL","Others","Others","NULL",,,
"39","BASPA (IPP) HPS","PSP","BASPA (IPP) HPS","300","0","Hydro","0","0",,,,
"40","BAWANA GPS","PSP","BAWANA GPS","0","0","Gas","0","0",,,,
"41","BAWANA_GAS","LTA","BAWANA_GAS","0","IPP","Gas","0","0",,,,
"42","BELLARY TPS","PSP","BELLARY TPS","0","0","Others","0","0",,,,
"43","BGTPP","ISGS","BGTPP","750","CS","NTPC","COAL","0",,,,
"44","BHADRADRI TPS","PSP","BHADRADRI TPS","810","0","Others","0","0",,,,
"45","BHAKRA","ISGS","BHAKRA","1532","0","Hydro","0","0",,,,
"46","BHIRA ","PSP","BHIRA ","0","0","Hydro","0","0",,,,
